station_name,avg_temp,rainfall,wind_speed,air_pressure
Kakinada,28.19696641,5.051162791,8.426527871,1008.553257
Kalimpong,23.31641104,7.89654908,5.736579755,1011.350767
Kalingapatam,27.39376362,5.25600189,12.29617193,1008.187105
Kandla Aerodrome,27.21672263,1.869845534,17.18697112,1008.720484
Kangra / Chari,21.09153226,4.253763441,5.861357527,1012.055914
Kanniyakumari,28.06452096,4.181436248,20.55729657,1009.420444
Kanpur,24.93599731,2.939758227,9.195634654,1008.241974
Kanpur / Chakeri,24.93599731,2.939758227,9.195634654,1008.241974
Karaikal,28.6995664,6.920566449,13.93481183,1008.858468
Karnal,23.22283412,2.319946273,9.183344527,1008.820013
Karwar,29.64737816,14.09803743,13.74701142,1009.405709
Kavali,28.33418402,3.428542646,11.17051713,1008.689993
Keongjhargarh,24.66104768,3.6838818,7.90161182,1009.521827
Keshod,26.5099142,2.816396568,13.03593899,1009.071306
Khajuraho,25.3212223,3.08871726,8.746205507,1008.4045
Khammam,27.8003358,3.257421088,8.433646743,1008.616655
Khandwa,26.26877099,3.25157824,10.60879785,1009.075957
Khargone,26.25842848,2.750973808,9.823572868,1008.999597
Kodaikanal,13.33615591,5.778494624,5.369623656,1012.761223
Kohima,17.40322364,4.587038281,5.399798522,1012.599866
Kolhapur,26.7640037,5.219824804,9.352249832,1010.70994
Koppal,25.941773,2.343317663,12.97199463,1010.150034
Koraput,27.51556748,3.681748466,9.52208589,1010.581518
Kota Aerodrome,26.36799781,3.169018405,7.4,1008.500873
Kothagudem,27.58509066,3.54842176,7.565614506,1008.554735
Kottayam,26.14162744,9.134431742,6.919435104,1009.929926
Kovilangulam / Aruppukkottai,29.27280597,4.263165138,9.107211989,1009.268782
Kozhikode,28.41811045,11.81901575,7.678430796,1009.634034
Krishnanagar,25.58173271,4.425923439,8.514103425,1008.06951
Kurnool,28.7822397,3.623043478,8.943049026,1008.725789
Lengpui / Hmunpui,23.23581989,4.760013441,5.66061828,1010.456653
Long Island,26.75362903,6.04469086,14.95571237,1009.591196
Lucknow,25.44349946,5.285856808,6.206468401,1008.206033
Lucknow / Amausi,25.34349946,5.285856808,6.206468401,1008.206033
Ludhiana,24.38904168,3.212450256,7.634942991,1008.793226
Ludhiana / Dor?ha,23.78444349,2.866969869,8.202548625,1008.883032
Lumding,23.6728677,4.661517797,6.226662189,1008.955876
M. O. Ranchi,24.07281369,5.539964318,5.510549944,1010.283567
M.O. Agathi Airport / Kavaratti,27.97899329,4.732147651,18.15644295,1009.93651
M.O. Karipur Airport / Kondotti,27.11218192,11.38775591,8.544372612,1009.685682
M.O. Pondicherry / Puducherry,28.13721876,6.579236711,10.94221477,1008.938188
Machilipatnam,28.51173124,5.103273398,12.96621894,1008.263465
Madikeri,20.22768817,6.769422043,9.896370968,1012.32789
Madras,28.74526259,6.522920354,10.48306832,1008.866438
Madras / Minambakkam,29.20917704,7.517477876,9.966666667,1008.740411
Madurai,29.11744776,4.380894495,8.755182641,1009.361285
Mahabaleshwar,21.74076155,24.76341912,9.761114842,1011.828475
Mahabubnagar,25.57313633,2.520214909,11.71551377,1009.911484
Mahuva,27.0212223,2.168502351,17.25036938,1008.82861
Majbat,23.61756135,8.943174847,6.55398773,1008.945552
Malanjkhand,24.10933512,3.531766286,8.193015447,1009.337005
Malda,26.18705144,5.124576681,6.573875084,1008.317327
Malegaon,25.90617864,2.512491605,10.58690396,1009.54822
Mana / Raipur,26.78391785,3.692085848,8.741773002,1008.495836
Manali,21.97267843,6.782425173,5.508825787,1018.005295
Mandi,19.27098724,3.002955003,5.612558764,1011.563062
Mandla,24.47568838,3.990261921,7.772934856,1009.048825
Mandya,24.37790463,3.319086022,11.0384822,1011.022633
Mangalore / Bajpe,27.29704927,15.22476991,8.155059615,1009.41037
Mangalore / Panambur,27.55655116,14.18951581,10.46258025,1009.592018
Manipur Road / R?jb?ri,23.92466398,4.388575269,6.626747312,1009.272648
Matheran,26.31372699,5.981365031,7.593174847,1009.169248
Maya Bandar,27.69227151,5.303024194,17.8390457,1009.670027
Medak,25.41081263,2.918132975,9.389858966,1009.311081
Meerut,23.59214238,2.490396239,8.367494963,1008.646138
Midnapore,25.81717791,4.392714724,8.656978528,1008.072163
Minicoy,28.35433807,6.129392971,14.36785474,1010.075118
